sample_idx,true_label,prediction_label,prediction_probability,is_misclassified,top_features,feature_directions,feature_shap_values,file_path
116,GOOD CREDIT RISK,BAD CREDIT RISK,0.51125,True,duration | checking_status_no checking | housing_rent,increase_risk | increase_risk | increase_risk,0.10248214712228561 | 0.06307951119944108 | 0.05648562947154283,RAG/QA/Answers/sample_116_feature_qa.jsonl
188,BAD CREDIT RISK,GOOD CREDIT RISK,0.30375,True,duration | checking_status_<0 | checking_status_no checking,decrease_risk | increase_risk | increase_risk,-0.11893513307385273 | 0.08018976935219545 | 0.06646818267975296,RAG/QA/Answers/sample_188_feature_qa.jsonl
189,BAD CREDIT RISK,GOOD CREDIT RISK,0.0275,True,checking_status_no checking | checking_status_<0 | credit_amount,decrease_risk | decrease_risk | decrease_risk,-0.06587551726680599 | -0.042468285532887194 | -0.03270896794458621,RAG/QA/Answers/sample_189_feature_qa.jsonl
21,BAD CREDIT RISK,GOOD CREDIT RISK,0.14,True,checking_status_no checking | duration | checking_status_<0,decrease_risk | increase_risk | decrease_risk,-0.09466696137154079 | 0.07918856050437213 | -0.04851290114631854,RAG/QA/Answers/sample_21_feature_qa.jsonl
22,BAD CREDIT RISK,GOOD CREDIT RISK,0.04875,True,checking_status_no checking | duration | checking_status_<0,decrease_risk | decrease_risk | decrease_risk,-0.08940996713101886 | -0.04601937773383065 | -0.03109943232871594,RAG/QA/Answers/sample_22_feature_qa.jsonl
23,GOOD CREDIT RISK,BAD CREDIT RISK,0.68375,True,checking_status_<0 | duration | checking_status_no checking,increase_risk | increase_risk | increase_risk,0.07451756120800743 | 0.07362862449688488 | 0.06558516460937963,RAG/QA/Answers/sample_23_feature_qa.jsonl
34,BAD CREDIT RISK,GOOD CREDIT RISK,0.14,True,checking_status_no checking | duration | checking_status_<0,decrease_risk | increase_risk | decrease_risk,-0.07462072059791408 | 0.03895175013428674 | -0.03561871384315051,RAG/QA/Answers/sample_34_feature_qa.jsonl
35,GOOD CREDIT RISK,BAD CREDIT RISK,0.6175,True,checking_status_<0 | checking_status_no checking | housing_rent,increase_risk | increase_risk | increase_risk,0.0944751511700094 | 0.07904602278885976 | 0.05879595996174465,RAG/QA/Answers/sample_35_feature_qa.jsonl
39,GOOD CREDIT RISK,BAD CREDIT RISK,0.68375,True,credit_amount | checking_status_no checking | duration,increase_risk | increase_risk | increase_risk,0.1709754503835602 | 0.06802094566096653 | 0.061777967509532246,RAG/QA/Answers/sample_39_feature_qa.jsonl
4,BAD CREDIT RISK,GOOD CREDIT RISK,0.28875,True,checking_status_no checking | savings_status_<100 | duration,increase_risk | decrease_risk | increase_risk,0.04742433737425575 | -0.04215482926535749 | 0.033822610125971375,RAG/QA/Answers/sample_4_feature_qa.jsonl
50,BAD CREDIT RISK,GOOD CREDIT RISK,0.0875,True,checking_status_no checking | checking_status_<0 | savings_status_<100,decrease_risk | decrease_risk | decrease_risk,-0.08848991589856717 | -0.0420816926243545 | -0.035644155654660066,RAG/QA/Answers/sample_50_feature_qa.jsonl
53,GOOD CREDIT RISK,BAD CREDIT RISK,0.51125,True,duration | checking_status_no checking | checking_status_<0,increase_risk | increase_risk | decrease_risk,0.14502138113265817 | 0.053498335542979225 | -0.03565136181090738,RAG/QA/Answers/sample_53_feature_qa.jsonl
59,GOOD CREDIT RISK,BAD CREDIT RISK,0.68125,True,duration | checking_status_<0 | checking_status_no checking,increase_risk | increase_risk | increase_risk,0.1070415886957138 | 0.09702703659220908 | 0.08460564693092826,RAG/QA/Answers/sample_59_feature_qa.jsonl
7,BAD CREDIT RISK,GOOD CREDIT RISK,0.3375,True,duration | checking_status_<0 | checking_status_no checking,decrease_risk | increase_risk | increase_risk,-0.09997001984341482 | 0.07668036871079045 | 0.059296451816157586,RAG/QA/Answers/sample_7_feature_qa.jsonl
81,BAD CREDIT RISK,GOOD CREDIT RISK,0.09625,True,checking_status_no checking | credit_history_delayed previously | duration,decrease_risk | increase_risk | decrease_risk,-0.08397505763883906 | 0.05000210393880608 | -0.041646428969628294,RAG/QA/Answers/sample_81_feature_qa.jsonl
88,BAD CREDIT RISK,GOOD CREDIT RISK,0.34625,True,credit_history_all paid | duration | checking_status_<0,increase_risk | decrease_risk | increase_risk,0.06354826164082117 | -0.06325170881021877 | 0.06035508864181138,RAG/QA/Answers/sample_88_feature_qa.jsonl
8,BAD CREDIT RISK,GOOD CREDIT RISK,0.3375,True,checking_status_no checking | employment_4<=X<7 | checking_status_<0,increase_risk | decrease_risk | decrease_risk,0.0568455778459198 | -0.040430500702163384 | -0.030688946706371588,RAG/QA/Answers/sample_8_feature_qa.jsonl
91,GOOD CREDIT RISK,BAD CREDIT RISK,0.6575,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | decrease_risk,0.10217175239613364 | 0.08530436261780883 | -0.06035805438850023,RAG/QA/Answers/sample_91_feature_qa.jsonl
92,BAD CREDIT RISK,GOOD CREDIT RISK,0.3125,True,duration | checking_status_no checking | checking_status_0<=X<200,decrease_risk | increase_risk | increase_risk,-0.13843355202792665 | 0.05327705339800826 | 0.02879891918742932,RAG/QA/Answers/sample_92_feature_qa.jsonl
99,BAD CREDIT RISK,GOOD CREDIT RISK,0.3375,True,checking_status_no checking | credit_history_all paid | savings_status_<100,increase_risk | increase_risk | decrease_risk,0.06802202119694871 | 0.06265075667003825 | -0.0379562392459325,RAG/QA/Answers/sample_99_feature_qa.jsonl
